F.j1.a1;F.j2.a1;F.j3.a1;F.j1.a0;F.j2.a0;F.j3.a0
0,000193790149892934;1,51177730192719e-05;2,33404710920771e-05;0,000294218415417559;1,92719486081370e-05;2,37473233404711e-05
0,000390620985010707;3,50321199143469e-05;5,38115631691649e-05;0,000590321199143469;4,80085653104925e-05;5,14561027837259e-05
0,000587901498929336;5,98929336188437e-05;8,87580299785867e-05;0,000880642398286938;7,99357601713062e-05;8,52676659528908e-05
0,000781798715203426;8,59743040685225e-05;1,24304068522484e-04;0,001173533190578159;1,16445396145610e-04;1,21027837259101e-04
0,000980770877944325;1,13704496788009e-04;1,61563169164882e-04;0,001463554603854390;1,54989293361884e-04;1,58372591006424e-04
0,001176873661670235;1,44175588865096e-04;2,00535331905782e-04;0,001755717344753747;1,98094218415418e-04;1,97837259100642e-04
0,001374775160599572;1,77344753747323e-04;2,40171306209850e-04;0,002046167023554604;2,40256959314775e-04;2,38008565310493e-04
0,001573062098501071;2,11284796573876e-04;2,81477516059957e-04;0,002336231263383298;2,87387580299786e-04;2,78222698072805e-04
0,001769678800856531;2,46359743040685e-04;3,24668094218415e-04;0,002629250535331906;3,35888650963597e-04;3,19850107066381e-04
0,001972012847965739;2,83683083511777e-04;3,67344753747323e-04;0,002921777301927195;3,85631691648822e-04;3,62612419700214e-04
0,002168736616702356;3,19186295503212e-04;4,10535331905782e-04;0,003212976445396146;4,36381156316917e-04;4,07194860813704e-04
0,002366038543897216;3,58522483940043e-04;4,57280513918630e-04;0,003506274089935760;4,88715203426124e-04;4,52205567451820e-04
0,002563982869379015;3,99079229122056e-04;5,00792291220557e-04;0,003803019271948608;5,43297644539615e-04;4,97623126338330e-04
0,002759036402569593;4,41370449678801e-04;5,46509635974304e-04;0,004098029978586723;5,97366167023555e-04;5,45331905781585e-04
0,002955845824411135;4,84197002141328e-04;5,94411134903640e-04;0,004392655246252677;6,53190578158458e-04;5,91220556745182e-04
0,003151970021413276;5,27173447537473e-04;6,43319057815846e-04;0,004683233404710920;7,09079229122056e-04;6,37944325481799e-04
0,003349229122055675;5,70942184154176e-04;6,92205567451820e-04;0,004974561027837259;7,68308351177730e-04;6,86167023554604e-04
0,003542548179871520;6,16274089935760e-04;7,41541755888651e-04;0,005262826552462527;8,27537473233405e-04;7,35781584582441e-04
0,003744282655246252;6,60749464668094e-04;7,90299785867238e-04;0,005551263383297644;8,87516059957173e-04;7,85310492505353e-04
0,003942248394004283;7,07965738758030e-04;8,38886509635974e-04;0,005841327623126338;9,48993576017131e-04;8,34732334047109e-04
0,004142141327623127;7,53683083511777e-04;8,88608137044968e-04;0,006126402569593147;1,01092077087794e-03;8,84860813704497e-04
0,004337880085653105;7,99507494646681e-04;9,38158458244111e-04;0,006419700214132762;1,07122055674518e-03;9,34004282655246e-04
0,004535631691648822;8,46081370449679e-04;9,89743040685225e-04;0,006710513918629550;1,13430406852248e-03;9,85931477516060e-04
0,004732119914346895;8,94732334047109e-04;1,04074946466809e-03;0,007002119914346895;1,20074946466809e-03;1,03702355460385e-03
0,004932141327623127;9,45010706638116e-04;1,09274089935760e-03;0,007294732334047109;1,26436830835118e-03;1,08777301927195e-03
0,005130578158458244;9,93019271948608e-04;1,14432548179872e-03;0,007585631691648822;1,33017130620985e-03;1,13997858672377e-03
0,005325182012847966;1,04241970021413e-03;1,19766595289079e-03;0,007879122055674518;1,39685224839400e-03;1,19184154175589e-03
0,005522034261241970;1,09280513918630e-03;1,25109207708779e-03;0,008167815845824411;1,46501070663812e-03;1,24670235546039e-03
0,005719314775160599;1,14385438972163e-03;1,30408993576017e-03;0,008452419700214132;1,53426124197002e-03;1,29942184154176e-03
0,005916145610278372;1,19464668094218e-03;1,35629550321199e-03;0,008742869379014990;1,60336188436831e-03;1,35364025695931e-03
0,006110749464668094;1,24680942184154e-03;1,40922912205567e-03;0,009030471092077087;1,67385438972163e-03;1,40762312633833e-03
0,006307880085653105;1,29815845824411e-03;1,46370449678801e-03;0,009316316916488222;1,74490364025696e-03;1,46237687366167e-03
0,006498008565310492;1,34897216274090e-03;1,51847965738758e-03;0,009600471092077088;1,81685224839400e-03;1,51595289079229e-03
0,006695396145610278;1,40115631691649e-03;1,57490364025696e-03;0,009893040685224839;1,89006423982869e-03;1,57160599571734e-03
0,006887965738758030;1,45282655246253e-03;1,63250535331906e-03;0,010183554603854389;1,96327623126338e-03;1,62738758029979e-03
0,007083940042826553;1,50627408993576e-03;1,69064239828694e-03;0,010470149892933619;2,03646680942184e-03;1,68379014989293e-03
0,007279057815845824;1,56059957173448e-03;1,74644539614561e-03;0,010757580299785867;2,10755888650964e-03;1,73886509635974e-03
0,007475010706638116;1,61663811563169e-03;1,80319057815846e-03;0,011044239828693790;2,18149892933619e-03;1,79543897216274e-03
0,007675310492505354;1,67306209850107e-03;1,86154175588865e-03;0,011328865096359744;2,25518201284797e-03;1,85038543897216e-03
0,007869164882226980;1,72561027837259e-03;1,91933618843683e-03;0,011621263383297645;2,32843683083512e-03;1,90740899357602e-03
0,008065310492505353;1,78169164882227e-03;1,97468950749465e-03;0,011909079229122056;2,40147751605996e-03;1,96274089935760e-03
0,008262098501070663;1,83910064239829e-03;2,03451820128480e-03;0,012201605995717344;2,47897216274090e-03;2,01974304068522e-03
0,008456531049250536;1,89543897216274e-03;2,09115631691649e-03;0,012493190578158458;2,55471092077088e-03;2,07713062098501e-03
0,008650513918629549;1,95177730192719e-03;2,14940042826552e-03;0,012780492505353319;2,63428265524625e-03;2,13421841541756e-03
0,008846252676659529;2,00843683083512e-03;2,20648822269807e-03;0,013068201284796573;2,71162740899358e-03;2,19417558886510e-03
0,009043897216274089;2,06528907922912e-03;2,26554603854390e-03;0,013351498929336188;2,79169164882227e-03;2,25134903640257e-03
0,009240021413276232;2,12184154175589e-03;2,32331905781585e-03;0,013637644539614560;2,86685224839400e-03;2,30931477516060e-03
0,009436937901498929;2,18004282655246e-03;2,38164882226981e-03;0,013920513918629550;2,94580299785867e-03;2,36847965738758e-03
0,009633169164882226;2,23912205567452e-03;2,43903640256959e-03;0,014209400428265524;3,02479657387580e-03;2,42627408993576e-03
0,009827987152034262;2,30042826552463e-03;2,49755888650964e-03;0,014495717344753748;3,10334047109208e-03;2,48496788008565e-03
0,010022376873661670;2,36064239828694e-03;2,55800856531049e-03;0,014777558886509636;3,18211991434690e-03;2,54426124197002e-03
0,010217687366167023;2,42044967880086e-03;2,62023554603854e-03;0,015061905781584582;3,26490364025696e-03;2,60385438972163e-03
0,010412633832976446;2,48053533190578e-03;2,67957173447537e-03;0,015345203426124197;3,34710920770878e-03;2,66353319057816e-03
0,010609486081370450;2,54184154175589e-03;2,73944325481799e-03;0,015627644539614561;3,42755888650964e-03;2,72271948608137e-03
0,010808308351177730;2,60329764453961e-03;2,80152034261242e-03;0,015912055674518200;3,50967880085653e-03;2,78327623126338e-03
0,010999528907922912;2,66391862955032e-03;2,86304068522484e-03;0,016195695931477516;3,59254817987152e-03;2,84089935760171e-03
0,011199978586723770;2,72323340471092e-03;2,92299785867238e-03;0,016482826552462526;3,67591006423983e-03;2,90124197002141e-03
0,011393447537473234;2,78451820128480e-03;2,98391862955032e-03;0,016769871520342611;3,75937901498929e-03;2,96263383297645e-03
0,011589892933618843;2,84775160599572e-03;3,04640256959315e-03;0,017058543897216272;3,84398286937902e-03;3,02162740899358e-03
0,011784475374732335;2,91057815845824e-03;3,10837259100642e-03;0,017343276231263385;3,92987152034261e-03;3,08066381156317e-03
0,011978222698072805;2,97346895074946e-03;3,16865096359743e-03;0,017626466809421842;4,01355460385439e-03;3,14192719486081e-03
0,012174518201284797;3,03618843683083e-03;3,23051391862955e-03;0,017912055674518201;4,09905781584582e-03;3,20248394004283e-03
0,012372912205567452;3,09835117773019e-03;3,29201284796574e-03;0,018197301927194862;4,18483940042827e-03;3,26265524625268e-03
0,012564197002141328;3,16107066381156e-03;3,35394004282655e-03;0,018484154175588866;4,26935760171306e-03;3,32282655246253e-03
0,012759164882226981;3,22244111349036e-03;3,41762312633833e-03;0,018770021413276231;4,35595289079229e-03;3,38535331905782e-03
0,012950299785867238;3,28618843683084e-03;3,47991434689507e-03;0,019054860813704496;4,44389721627409e-03;3,44687366167024e-03
0,013142548179871521;3,35059957173448e-03;3,54083511777302e-03;0,019338779443254819;4,52965738758030e-03;3,50965738758030e-03
0,013334432548179872;3,41740899357602e-03;3,60336188436831e-03;0,019621798715203427;4,61693790149893e-03;3,57182012847966e-03
0,013528886509635974;3,48293361884368e-03;3,66730192719486e-03;0,019906038543897216;4,70368308351178e-03;3,63511777301927e-03
0,013722526766595289;3,54922912205567e-03;3,72912205567452e-03;0,020190963597430407;4,79179871520343e-03;3,69852248394004e-03
0,013920642398286939;3,61209850107066e-03;3,79325481798715e-03;0,020476873661670236;4,87809421841542e-03;3,76173447537473e-03
0,014111498929336188;3,67537473233405e-03;3,85374732334047e-03;0,020756316916488222;4,96768736616702e-03;3,82336188436831e-03
0,014306445396145610;3,74259100642398e-03;3,91843683083512e-03;0,021036895074946466;5,05631691648822e-03;3,88629550321199e-03
0,014500492505353318;3,81087794432548e-03;3,98107066381156e-03;0,021316895074946468;5,14563169164882e-03;3,95068522483940e-03
0,014696873661670235;3,87882226980728e-03;4,04550321199143e-03;0,021601755888650962;5,23280513918630e-03;4,01533190578158e-03
0,014892248394004283;3,94678800856531e-03;4,11029978586724e-03;0,021886359743040686;5,32184154175589e-03;4,07629550321199e-03
0,015086188436830836;4,01297644539615e-03;4,17691648822270e-03;0,022167109207708778;5,41297644539615e-03;4,13976445396146e-03
0,015277794432548180;4,08081370449679e-03;4,24259100642398e-03;0,022448008565310491;5,49852248394004e-03;4,20453961456103e-03
0,015472376873661670;4,15025695931477e-03;4,30672376873662e-03;0,022727537473233406;5,58822269807280e-03;4,27070663811563e-03
0,015664732334047110;4,21777301927195e-03;4,37237687366167e-03;0,023007537473233405;5,67901498929336e-03;4,33458244111349e-03
0,015858072805139185;4,28627408993576e-03;4,43858672376874e-03;0,023291820128479659;5,77233404710921e-03;4,40014989293362e-03
0,016050685224839399;4,35552462526767e-03;4,50492505353319e-03;0,023574817987152035;5,86237687366167e-03;4,46614561027837e-03
0,016238629550321199;4,42578158458244e-03;4,56940042826552e-03;0,023860492505353319;5,95578158458244e-03;4,53083511777302e-03
0,016429143468950750;4,49426124197002e-03;4,63334047109208e-03;0,024141627408993577;6,04762312633833e-03;4,59492505353319e-03
0,016620835117773021;4,56295503211991e-03;4,69845824411135e-03;0,024424646680942186;6,13865096359743e-03;4,65884368308351e-03
0,016812548179871521;4,63241970021413e-03;4,76282655246253e-03;0,024708436830835116;6,23295503211991e-03;4,72498929336188e-03
0,017005588865096361;4,70334047109208e-03;4,82965738758030e-03;0,024990342612419700;6,32567451820128e-03;4,78950749464668e-03
0,017195695931477517;4,77211991434690e-03;4,89531049250535e-03;0,025272205567451821;6,41957173447537e-03;4,85481798715203e-03
0,017387066381156318;4,84201284796574e-03;4,96008565310492e-03;0,025555610278372592;6,51329764453961e-03;4,91907922912206e-03
