estimator,timescale,J,time,F.a0,F.a1,RR,RD,SR
contmle,3mo,1,4,0.0634278092917811,0.06091099698471181,0.9603200499091584,-0.002516812307069294,1.0026872592759413
contmle,3mo,1,8,0.11873910771957338,0.09467752985739432,0.797357599157597,-0.024061577862179065,1.02730358066828
contmle,3mo,1,12,0.16767610045006257,0.12592970784319668,0.7510295594016463,-0.041746392606865884,1.0501564266380425
contmle,3mo,1,16,0.2288490108255238,0.16712591343601144,0.730288992000186,-0.06172309738951237,1.0800402233233046
contmle,3mo,2,4,0.04517531986170058,0.04448490218174972,0.9847169276927203,-6.904176799508582e-4,1.0007230831945513
contmle,3mo,2,8,0.10439491256708651,0.08805513470203867,0.8434810905699305,-0.01633977786504784,1.0182444004554316
contmle,3mo,2,12,0.17103327079622144,0.13950989914158188,0.8156886580728596,-0.03152337165463956,1.0380273062164
contmle,3mo,2,16,0.22644643306761972,0.1848708383741735,0.8163998693632272,-0.04157559469344621,1.0537462387489456
contmle,3mo,3,4,0.02862219453824268,0.02974137795769935,1.0391019430030533,0.00111918341945667,0.9988478392102806
contmle,3mo,3,8,0.04717704605332095,0.05388722470998484,1.1422339721965602,0.006710178656663887,0.9929575808088273
contmle,3mo,3,12,0.07041393405352092,0.08557903704020851,1.2153707670297296,0.015165102986687592,0.9836861765228302
contmle,3mo,3,16,0.09644256686025865,0.12280762355779334,1.2733757256350984,0.026365056697534694,0.9708208291686344
contmle,6mo,1,2,0.06316305078917474,0.061258844320795085,0.9698525254149692,-0.001904206468379653,1.002032591124831
contmle,6mo,1,4,0.11845408546218109,0.09504192268173874,0.8023524246623206,-0.02341216278044235,1.0265580753019734
contmle,6mo,1,6,0.1673733723802862,0.12630946507034,0.7546568684973043,-0.04106390730994622,1.0493185131819989
contmle,6mo,1,8,0.2285244719856042,0.16752600094793282,0.7330768538368445,-0.060998471037671365,1.0790672792883889
contmle,6mo,2,2,0.04542224783125174,0.04414718524977583,0.971928677193324,-0.0012750625814759095,1.0013357346518699
contmle,6mo,2,4,0.10461691663581708,0.08773757900216884,0.838655753042244,-0.01687933763364824,1.0188515261760678
contmle,6mo,2,6,0.17122761777478585,0.13921628517738902,0.8130480759272078,-0.03201133259739683,1.0386249991963388
contmle,6mo,2,8,0.2266181630789563,0.1845984662956994,0.814579307270191,-0.0420196967832569,1.05433240706886
contmle,6mo,3,2,0.028958458652566063,0.02930725427139567,1.012044688669875,3.4879561882960805e-4,0.9996408025774617
contmle,6mo,3,4,0.04750651200559943,0.05346493216375224,1.1254232295027367,0.005958420158152809,0.9937443980108472
contmle,6mo,3,6,0.07073499542760278,0.08517232638366802,1.2041045011565998,0.014437330956065239,0.9844637096145586
contmle,6mo,3,8,0.09675433866577343,0.12241928045965385,1.2652588209251987,0.025664941793880416,0.9715858676188164
contmle,cont,1,360,0.06313964609219175,0.06128890169636526,0.9706880777709116,-0.001850744395826491,1.0019754752008736
contmle,cont,1,720,0.11842623745544828,0.09507463247249921,0.8028173022744737,-0.023351604982949067,1.0264885435287316
