F.j1.a1,F.j2.a1,F.j3.a1,F.j1.a0,F.j2.a0,F.j3.a0
1.3383297644539615e-4,9.229122055674518e-6,1.7259100642398287e-5,1.9372591006423982e-4,1.2505353319057816e-5,1.766595289079229e-5
2.693147751605996e-4,2.3468950749464667e-5,3.925053533190578e-5,3.8640256959314776e-4,3.066381156316917e-5,4.089935760171306e-5
3.998286937901499e-4,3.922912205567452e-5,6.56745182012848e-5,5.859957173447538e-4,5.1220556745182014e-5,6.715203426124197e-5
5.357173447537474e-4,5.734475374732334e-5,9.445396145610279e-5,7.837687366167023e-4,7.595289079229122e-5,9.522483940042827e-5
6.679014989293361e-4,7.691648822269808e-5,1.2372591006423983e-4,9.796359743040686e-4,1.0100642398286938e-4,1.2379014989293363e-4
8.018629550321199e-4,9.635974304068523e-5,1.5436830835117773e-4,0.0011742398286937901,1.286509635974304e-4,1.5501070663811564e-4
9.315203426124197e-4,1.1747323340471091e-4,1.8792291220556747e-4,0.0013690578158458244,1.5775160599571734e-4,1.8595289079229122e-4
0.001062269807280514,1.402997858672377e-4,2.2066381156316916e-4,0.0015655032119914346,1.8800856531049252e-4,2.1832976445396147e-4
0.0011937259100642398,1.6220556745182013e-4,2.5293361884368306e-4,0.0017590149892933618,2.1723768736616703e-4,2.497002141327623e-4
0.0013263597430406852,1.851391862955032e-4,2.8541755888650966e-4,0.001955674518201285,2.4976445396145613e-4,2.852676659528908e-4
0.0014562955032119914,2.0925053533190578e-4,3.198929336188437e-4,0.0021519271948608138,2.8250535331905783e-4,3.2017130620985013e-4
0.0015855888650963598,2.3535331905781583e-4,3.538543897216274e-4,0.0023462312633832976,3.1650963597430406e-4,3.552890792291221e-4
0.001720578158458244,2.607066381156317e-4,3.8920770877944326e-4,0.002538693790149893,3.511777301927195e-4,3.924625267665953e-4
0.0018487152034261242,2.8740899357601715e-4,4.2411134903640256e-4,0.0027324625267665954,3.874946466809422e-4,4.3006423982869376e-4
0.0019782869379014988,3.147751605995717e-4,4.619914346895075e-4,0.0029274089935760173,4.2241970021413277e-4,4.680728051391863e-4
0.002112055674518201,3.433404710920771e-4,4.983940042826553e-4,0.0031193576017130623,4.5710920770877946e-4,5.03982869379015e-4
0.0022435117773019274,3.70813704496788e-4,5.351820128479658e-4,0.00331558886509636,4.949250535331906e-4,5.415203426124198e-4
0.002376359743040685,3.984154175588865e-4,5.732334047109207e-4,0.003508693790149893,5.332334047109207e-4,5.797002141327624e-4
0.00250644539614561,4.261241970021413e-4,6.118415417558886e-4,0.003706017130620985,5.713062098501071e-4,6.177730192719486e-4
0.0026406209850107065,4.569164882226981e-4,6.51541755888651e-4,0.003901241970021413,6.101284796573876e-4,6.574089935760171e-4
0.0027714989293361886,4.8674518201284795e-4,6.910278372591007e-4,0.004093576017130621,6.502997858672377e-4,6.980299785867238e-4
0.0029008565310492504,5.169593147751606e-4,7.295289079229122e-4,0.0042867880085653105,6.90899357601713e-4,7.384368308351178e-4
0.0030300856531049252,5.482869379014989e-4,7.700642398286938e-4,0.004479764453961456,7.328693790149892e-4,7.785653104925053e-4
0.0031632762312633835,5.798072805139186e-4,8.097216274089936e-4,0.0046713918629550325,7.746466809421842e-4,8.200856531049251e-4
0.003294561027837259,6.117344753747324e-4,8.511134903640257e-4,0.004867366167023554,8.150963597430407e-4,8.614132762312633e-4
0.003426017130620985,6.423340471092077e-4,8.927408993576017e-4,0.005064346895074946,8.579014989293362e-4,9.030835117773019e-4
0.0035569807280513917,6.75203426124197e-4,9.355888650963598e-4,0.005260149892933619,9.013490364025696e-4,9.452034261241971e-4
0.0036891648822269807,7.067023554603854e-4,9.771092077087795e-4,0.005452248394004283,9.446252676659529e-4,9.866595289079229e-4
0.003822976445396146,7.392933618843683e-4,0.0010192505353319057,0.005649250535331906,9.89100642398287e-4,0.0010265096359743041
0.0039504282655246255,7.721627408993576e-4,0.0010601927194860813,0.005845867237687367,0.001034154175588865,0.0010694004282655247
0.004081713062098501,8.054603854389721e-4,0.0011032119914346895,0.006039571734475375,0.0010771734475374733,0.0011123982869379015
0.004213940042826552,8.399357601713062e-4,0.0011448179871520342,0.006233597430406852,0.001123811563169165,0.0011545824411134903
0.004342612419700214,8.722269807280514e-4,0.0011871092077087794,0.006424775160599572,0.0011683297644539614,0.001195695931477516
0.0044773447537473235,9.05203426124197e-4,0.0012310064239828694,0.0066195074946466806,0.00121406852248394,0.0012376231263383298
0.004608650963597431,9.397430406852249e-4,0.0012761456102783726,0.006808865096359743,0.0012597002141327624,0.001281370449678801
0.004740471092077088,9.740256959314775e-4,0.0013201713062098502,0.007007387580299786,0.0013051391862955032,0.001326423982869379
0.004868715203426124,0.001010642398286938,0.001362933618843683,0.007202762312633833,0.0013528693790149893,0.0013691648822269807
