Run 1 ; survtmle6mo ; start
Run 1 ; survtmle6mo ; start
Run 1 ; survtmle6mo ; start
Run 6 ; survtmle6mo ; start
Run 11 ; survtmle6mo ; start
Run 9 ; survtmle6mo ; start
Run 12 ; survtmle6mo ; start
Run 5 ; survtmle6mo ; start
Run 4 ; survtmle6mo ; start
Run 1 ; survtmle6mo ; start
Run 2 ; survtmle6mo ; start
Run 7 ; survtmle6mo ; start
Run 10 ; survtmle6mo ; start
Run 3 ; survtmle6mo ; start
Run 8 ; survtmle6mo ; start
Run 11 ; survtmle3mo ; start
Run 9 ; survtmle3mo ; start
Run 12 ; survtmle3mo ; start
Run 3 ; survtmle3mo ; start
Run 7 ; survtmle3mo ; start
Run 2 ; survtmle3mo ; start
Run 4 ; survtmle3mo ; start
Run 8 ; survtmle3mo ; start
Run 1 ; survtmle3mo ; start
Run 6 ; survtmle3mo ; start
Run 5 ; survtmle3mo ; start
Run 10 ; survtmle3mo ; start
Run 11 ; Aalen-Johansen ; start
Run 11 ; Aalen-Johansen ; 0.000361 mins
Run 9 ; Aalen-Johansen ; start
Run 9 ; Aalen-Johansen ; 0.000436 mins
Run 2 ; Aalen-Johansen ; start
Run 2 ; Aalen-Johansen ; 0.000549 mins
Run 7 ; Aalen-Johansen ; start
Run 7 ; Aalen-Johansen ; 0.000394 mins
Run 12 ; Aalen-Johansen ; start
Run 12 ; Aalen-Johansen ; 0.00035 mins
Run 1 ; Aalen-Johansen ; start
Run 1 ; Aalen-Johansen ; 0.000445 mins
Run 4 ; Aalen-Johansen ; start
Run 4 ; Aalen-Johansen ; 0.000398 mins
Run 15 ; survtmle6mo ; start
Run 17 ; survtmle6mo ; start
Run 13 ; survtmle6mo ; start
Run 18 ; survtmle6mo ; start
Run 14 ; survtmle6mo ; start
Run 16 ; survtmle6mo ; start
Run 8 ; Aalen-Johansen ; start
Run 8 ; Aalen-Johansen ; 0.0017 mins
Run 3 ; Aalen-Johansen ; start
Run 3 ; Aalen-Johansen ; 0.00172 mins
Run 19 ; survtmle6mo ; start
Run 20 ; survtmle6mo ; start
Run 21 ; survtmle6mo ; start
Run 10 ; Aalen-Johansen ; start
Run 10 ; Aalen-Johansen ; 0.000423 mins
Run 22 ; survtmle6mo ; start
Run 6 ; Aalen-Johansen ; start
Run 6 ; Aalen-Johansen ; 0.000407 mins
Run 23 ; survtmle6mo ; start
Run 5 ; Aalen-Johansen ; start
Run 5 ; Aalen-Johansen ; 0.000458 mins
Run 24 ; survtmle6mo ; start
Run 18 ; survtmle3mo ; start
Run 16 ; survtmle3mo ; start
Run 17 ; survtmle3mo ; start
Run 15 ; survtmle3mo ; start
Run 22 ; survtmle3mo ; start
Run 14 ; survtmle3mo ; start
Run 20 ; survtmle3mo ; start
Run 13 ; survtmle3mo ; start
Run 23 ; survtmle3mo ; start
Run 19 ; survtmle3mo ; start
Run 21 ; survtmle3mo ; start
Run 24 ; survtmle3mo ; start
Run 23 ; Aalen-Johansen ; start
Run 23 ; Aalen-Johansen ; 0.000334 mins
Run 25 ; survtmle6mo ; start
Run 18 ; Aalen-Johansen ; start
Run 18 ; Aalen-Johansen ; 0.000515 mins
Run 16 ; Aalen-Johansen ; start
Run 16 ; Aalen-Johansen ; 0.000274 mins
Run 26 ; survtmle6mo ; start
Run 27 ; survtmle6mo ; start
Run 17 ; Aalen-Johansen ; start
Run 17 ; Aalen-Johansen ; 0.000273 mins
Run 28 ; survtmle6mo ; start
Run 13 ; Aalen-Johansen ; start
Run 13 ; Aalen-Johansen ; 0.000312 mins
Run 29 ; survtmle6mo ; start
Run 22 ; Aalen-Johansen ; start
Run 14 ; Aalen-Johansen ; start
Run 22 ; Aalen-Johansen ; 0.000294 mins
Run 14 ; Aalen-Johansen ; 0.000441 mins
Run 20 ; Aalen-Johansen ; start
Run 20 ; Aalen-Johansen ; 0.000382 mins
Run 21 ; Aalen-Johansen ; start
Run 21 ; Aalen-Johansen ; 0.000264 mins
Run 30 ; survtmle6mo ; start
Run 31 ; survtmle6mo ; start
Run 24 ; Aalen-Johansen ; start
Run 24 ; Aalen-Johansen ; 0.000782 mins
Run 32 ; survtmle6mo ; start
Run 33 ; survtmle6mo ; start
Run 15 ; Aalen-Johansen ; start
Run 15 ; Aalen-Johansen ; 0.000511 mins
Run 34 ; survtmle6mo ; start
Run 35 ; survtmle6mo ; start
Run 19 ; Aalen-Johansen ; start
Run 19 ; Aalen-Johansen ; 0.000824 mins
Run 36 ; survtmle6mo ; start
Run 27 ; survtmle3mo ; start
Run 25 ; survtmle3mo ; start
Run 26 ; survtmle3mo ; start
Run 31 ; survtmle3mo ; start
Run 28 ; survtmle3mo ; start
Run 29 ; survtmle3mo ; start
Run 34 ; survtmle3mo ; start
Run 33 ; survtmle3mo ; start
Run 32 ; survtmle3mo ; start
Run 35 ; survtmle3mo ; start
Run 30 ; survtmle3mo ; start
Run 36 ; survtmle3mo ; start
